"","divorced","married","no_answer","single","widowed"
"",0.916666666666667,0.73,1,0.5,0.6
"Access to services",0,0.005,0,0,0
"Alcoholism which leads to over fighting in the village ",0,0.005,0,0,0
"Attack by wild animals especially elephants",0,0.005,0,0,0
"Attacks by elephants that destroys the food that has been cultivated for consumption ",0,0,0,0,0.04
"Attacks from animals",0,0.005,0,0,0
"Attacks from wild animals",0,0.01,0,0,0
"Because our shelter we sleep in is so bad so this puts us on fear that any thing can happen when we are sleeping ",0,0.005,0,0,0
"Being robbed by thieves in the night",0,0.005,0,0,0
"Crops are always attack by wild animals",0,0.005,0,0,0
"Elephant attack",0,0.01,0,0,0
"Land eviction ",0,0.005,0,0,0
"Land evictions ",0,0,0,0,0.04
"Land evictions from areas of residence ",0,0.005,0,0,0
"Land gazetted for development by the government",0,0.005,0,0,0
"Night dancers ",0,0.005,0,0,0
"Poultry  theft",0,0.005,0,0,0
"Rampant theft ",0,0.005,0,0,0
"Rampant Theft ",0,0.005,0,0,0
"Security is far away from us",0,0.005,0,0,0
"Security posts are far so this gives thieves do much of stealing ",0,0.005,0,0,0
"Stealing food from gardenLG",0,0.005,0,0,0
"Stealing of food from gardens",0,0,0,0.5,0
"Theft",0,0.025,0,0,0.04
"Theft ",0,0.005,0,0,0.04
"Theft and witches",0,0.005,0,0,0
"Theft by other members in the village",0,0,0,0,0.04
"Theft is also rampant ",0,0.005,0,0,0
"Theft is so high",0,0.005,0,0,0
"Theft is so high and nothing is always done to such people due to corrupt leadership ",0,0.005,0,0,0
"Theft like stealing of properties e.g goats,chicken etc",0,0.005,0,0,0
"Theft of animals and poultry ",0,0.005,0,0,0
"Theft of animals and properties ",0.0833333333333333,0,0,0,0
"Theft of items in the village ",0,0,0,0,0.04
"Theft of properties is rampant, Attacks by elephants on their crops ",0,0.005,0,0,0
"Theft of property ",0,0.005,0,0,0
"Theft( stealing our belongings put us at risk every time )",0,0.005,0,0,0
"Thefty",0,0.045,0,0,0.04
"Thefty ",0,0.01,0,0,0.04
"Their  land was taken by the government  investors ",0,0.005,0,0,0
"Thieves",0,0.005,0,0,0
"Wetches",0,0,0,0,0.04
"Wild animals ",0,0.005,0,0,0
"Wild animals always destroy my crops",0,0.005,0,0,0
"Witch craft and wizards",0,0.005,0,0,0
"Witch craft is being practiced seriously ",0,0,0,0,0.04
"Witchcraft ",0,0.005,0,0,0
"Witchcraft attack by neighbours",0,0.005,0,0,0
